title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	
			cubic meter per minute (m^3/min)					A volumetric flow rate unit which is the measure of the volume of one cubic meter of matter crosses a given surface during the period of time equal to one minute.	
			cubic meter per hour (m^3/h)					A volumetric flow rate unit which is the measure of the volume of one cubic meter of matter crosses a given surface during the period of time equal to one hour.	
			liter per second (L/s)					A volumetric flow rate unit which is the measure of the volume of one liter of matter crosses a given surface during the period of time equal to one second.	
			liter per minute (L/min)					A volumetric flow rate unit which is the measure of the volume of one liter of matter crosses a given surface during the period of time equal to one minute.	
			liter per hour (L/h)					A volumetric flow rate unit which is the measure of the volume of one liter of matter crosses a given surface during the period of time equal to one hour.	
			liter per day (L/day)					A volumetric flow rate unit which is the measure of the volume of one liter of matter crosses a given surface during the period of time equal to one day.	
			million gallons per day (MGD)					A volumetric flow rate unit which is the measure of the volume of one million gallons of matter crosses a given surface during the period of time equal to one day.	
									
turbidity_measurement_unit menu	TurbidityMeasurementUnitMenu		nephelometric turbidity unit (NTU)					A measure of turbidity calculated by using a nephelometer to compare how white light is scattered in a water sample.	
		UO:0000318	formazin nephelometric unit (FNU) [UO:0000318]					A measure of turbidity calculated by comparing how infrared light is scattered in a water sample against the amount of infrared light scattered in a reference solution containing formazin.	
									
dissolved_oxygen_measurement_unit menu	DissolvedOxygenMeasurementUnitMenu	UO:0000273	milligram per liter (mg/L) [UO:0000273]					A non-SI unit of density that is equivalent to the SI metric kilogram per cubic meter.	
		UO:0000083	kilogram per cubic meter (kg/m^3) [UO:0000083]					An SI unit of density that is one thousandth of the density of water.	
		UO:0000169	part per million (ppm) [UO:0000169]					A unitless measure of density that represents one item out of a million.	
									
oxygen_reduction_potential_(ORP)_measurement_unit menu	OxygenReductionPotentialOrpMeasurementUnitMenu	UO:0000247	milliVolt (mV) [UO:0000247]					A non-SI unit of electromotive force that is one thousandth of a volt.	
									
chemical_oxygen_demand_(COD)_measurement_unit menu	ChemicalOxygenDemandCodMeasurementUnitMenu	UO:0000273	milligram per liter (mg/L) [UO:0000273]					A non-SI unit of density that is equivalent to the SI metric kilogram per cubic meter.	
									
carbonaceous_biochemical_oxygen_demand_(CBOD)_measurement_unit menu	CarbonaceousBiochemicalOxygenDemandCbodMeasurementUnitMenu	UO:0000273	milligram per liter (mg/L) [UO:0000273]					A non-SI unit of density that is equivalent to the SI metric kilogram per cubic meter.	
									
total_suspended_solids_(TSS)_measurement_unit menu	TotalSuspendedSolidsTssMeasurementUnitMenu	UO:0000187	percent (%) [UO:0000187]					A unitless measure that represents one in a hundred.	
		UO:0000175	gram per liter (g/L) [UO:0000175]					A non-SI unit of density that is a thousand kilograms per cubic meter.	
									
total_dissolved_solids_(TDS)_measurement_unit menu	TotalDissolvedSolidsTdsMeasurementUnitMenu	UO:0000187	percent (%) [UO:0000187]					A unitless measure that represents one in a hundred.	
		UO:0000175	gram per liter (g/L) [UO:0000175]					A non-SI unit of density that is a thousand kilograms per cubic meter.	
									
total_solids_(TS)_measurement_unit menu	TotalSolidsTsMeasurementUnitMenu	UO:0000187	percent (%) [UO:0000187]					A unitless measure that represents one in a hundred.	
		UO:0000175	gram per liter (g/L) [UO:0000175]					A non-SI unit of density that is a thousand kilograms per cubic meter.	
									
alkalinity_measurement_unit menu	AlkalinityMeasurementUnitMenu		milliequivalent per liter (meq/L)					A unit of ion concentration that represents chemical activity per volume.	
		UO:0000273	milligram per liter (mg/L) [UO:0000273]					A non-SI unit of density that is equivalent to the SI metric kilogram per cubic meter.	
		UO:0000169	parts per million [UO:0000169]					A unitless measure of density that represents one item out of a million.	
									
conductivity_measurement_unit menu	ConductivityMeasurementUnitMenu		milliSiemen per centimeter (mS/cm)					A non-SI unit of electrical conductivity that is equivalent to one tenth of a Siemen per meter (S/m).	
			microSiemen per centimeter (μS/cm)					A non-SI unit of electrical conductivity that is equivalent to one ten thousandth of a Siemen per meter (S/m).	
			Siemen per meter (S/m)					An SI unit of electrical conductivity that is equivalent to an ampere per volt per meter (A/v/m).	
									
salinity_measurement_unit menu	SalinityMeasurementUnitMenu		practical salinity unit (PSU)					A unitless measure of salinity that is equivalent to per thousand.	
			weight for weight (% w/w)					A unitless comparison based on weight rather than volume, which is equivalent to per hundred.	
		UO:0000168	parts per thousand [UO:0000168]					A dimensionless concentration notation which denotes the amount of a given substance in a total amount of 1000 regardless of the units of measure as long as they are the same.	
		UO:0000175	gram per liter (g/L) [UO:0000175]					A non-SI unit of density that is a thousand kilograms per cubic meter.	
									
total_nitrogen_(TN)_measurement_unit menu	TotalNitrogenTnMeasurementUnitMenu	UO:0000273	milligram per liter (mg/L) [UO:0000273]					A non-SI unit of density that is equivalent to the SI metric kilogram per cubic meter.	
		UO:0000175	gram per liter (g/L) [UO:0000175]					A non-SI unit of density that is a thousand kilograms per cubic meter.	
			gram per total solids (g/gTS)					A unitless comparison of the weight of a substance as a proportion to the weight of total solids. 	
									
total_phosphorpus_(TP)_measurement_unit menu	TotalPhosphorpusTpMeasurementUnitMenu		gram per total solids (g/gTS)					A unitless comparison of the weight of a substance as a proportion to the weight of total solids. 	
		GENEPIO:0100998	orthophosphate as phosphorus per total solids (gPO4-P/gTS) [GENEPIO:0100998]					A substance unit which describes the weight of orthophosphate as phosphorus (gPO4-P) within a sample to the weight of total solids.	
		UO:0000273	milligrams per liter (mg/L) [UO:0000273]					A non-SI unit of density that is equivalent to the SI metric kilogram per cubic meter.	
		GENEPIO:0100999	milligrams orthophosphate as phosphorus per liter (mg PO4-P/L) [GENEPIO:0100999]					A density unit comparing the weight of orthophosphate as phosphorus (PO4-P) in milligrams within a standard liter volume.	
									
fecal contamination indicator menu	FecalContaminationIndicatorMenu	NCBITaxon:1211417	crAssphage [NCBITaxon:1211417]					CrAss-like phage, a bacteriophage discovered in 2014 in the human fecal metagenome.	
		NCBITaxon:12239	PMMoV / pepper mild mottle virus [NCBITaxon:12239]					A plant RNA virus that is abundant in human feces.	
		GENEPIO:0101000	Bacteroides HF183					A fecal indicator which is the most commonly used sewage-associated marker gene, belonging to the Bacteroides genus.	
		GENEPIO:0101001	Lachnospiraceae Lachno3					A fecal indicator which is a human-associated genetic marker in the Lachnospiraceae family of bacteria.	
		GENEPIO:0101002	F+ (male specific) coliphages					A fecal indicator which is a bacteriophage that infects coliform bacteria and is used in water assessment.	
		CHEBI:26756	Stercobilin					Bile pigment found in fecal material.	
									
fecal_contamination_unit menu	FecalContaminationUnitMenu		log10 gene copies per 100 milliliter (log10 GC/100 mL)					A unit that expresses on a logarithmic scale the number of copies of a given gene within one hundred milliliters of a biological material.	
			gene copies per liter (GC/L)					A unit that measures the number of copies of a given gene within a liter of a biological material.	
		UO:0010077	PCR quantification cycle [UO:0010077]					A count unit of how many Polymerase Chain Reaction (PCR) cycles it took to detect a real signal from a sample. Equivalent to the PCR cycle number at which a sample's reaction curve intersects the threshold line.	
			log10 gene copies per nanogram total DNA					A unit that expresses on a logarithmic scale the number of copies within a nanogram of deoxyribonucleic acid genetic material.	
									
urinary_contamination_indicator menu	UrinaryContaminationIndicatorMenu	CHEBI:36378	Urobilin [CHEBI:36378]					A tetrapyrroledicarboxylic acid that causes the yellow color in urine. Also known as urochrome.	
									
urinary_contamination_unit menu	UrinaryContaminationUnitMenu	EFO:0004382	nanograms per liter (ng/L) [EFO:0004382]					A mass unit density which is equal to mass of an object in nanograms divided by the volume in liters.	
									
fecal_coliform_count_unit menu	FecalColiformCountUnitMenu	UO:0000213	colony forming units per milliliter (CFU/mL) [UO:0000213]					A unit of microbial density that describes the number of colony forming units within a milliliter of material.	
			colony forming units per 100 milliliter (CFU/100 mL)					A unit of microbial density that describes the number of colony forming units within 100 milliliters of material.	
			colony forming units per grams total solids (CFU/gTS)					A unit of microbial density that describes the number of colony forming units within a gram of total solids in waste material.	
			most probable number per milliliter (MPN/mL)					A unit of microbial density that describes the most probable number of microbes within one milliliter of material.	
			most probable number per 100 milliliter (MPN/100 mL)					A unit of microbial density that describes the most probable number of microbes within 100 milliliters of material.	
									
sample_temperature_unit_(at collection) menu	SampleTemperatureUnitAtCollectionMenu	UO:0000195	degree Fahrenheit (F) [UO:0000195]					A unit of temperature on a scale where water freezes at 32 degrees and boils at 212 degrees under standard conditions.	
		UO:0000027	degree Celsius (C) [UO:0000027]					A unit of temperature on a scale where water freezes at 0 degrees and boils at 100 degrees under standard conditions.	
									
sample_temperature_unit_(when received) menu	SampleTemperatureUnitWhenReceivedMenu	UO:0000195	degree Fahrenheit (F) [UO:0000195]					A unit of temperature on a scale where water freezes at 32 degrees and boils at 212 degrees under standard conditions.	
		UO:0000027	degree Celsius (C) [UO:0000027]					A unit of temperature on a scale where water freezes at 0 degrees and boils at 100 degrees under standard conditions.	
									
sequencing_assay_type menu	SequencingAssayTypeMenu	OBI:0002767	Amplicon sequencing assay [OBI:0002767]					A sequencing assay in which a DNA or RNA input molecule is amplified by PCR and the product sequenced.	
		OBI:0002763		16S ribosomal gene sequencing assay [OBI:0002763]				An amplicon sequencing assay in which the amplicon is derived from universal primers used to amplify the 16S ribosomal RNA gene from isolate bacterial genomic DNA or metagenomic DNA from a microbioal community. Resulting sequences are compared to reference 16S sequence databases to identify or classify bacteria present within a given sample.	
		GENEPIO:0101128		CRISPR amplicon sequencing assay [GENEPIO:0101128]					
		GENEPIO:0101129		Primal tiling amplicon sequencing assay [GENEPIO:0101129]					
		OBI:0002117	Whole genome sequencing assay [OBI:0002117]					A DNA sequencing assay that intends to provide information about the sequence of an entire genome of an organism.	
		OBI:0002623	Whole metagenome sequencing assay [OBI:0002623]					A DNA sequencing assay that intends to provide information on the DNA sequences of multiple genomes (a metagenome) from different organisms present in the same input sample.	
		OBI:0002768		Whole virome sequencing assay [OBI:0002768]				A whole metagenome sequencing assay that intends to provide information on multiple genome sequences from different viruses present in the same input sample.	
									
purpose_of_sequencing menu	PurposeOfSequencingMenu	GENEPIO:0100005	Baseline surveillance (random sampling) [GENEPIO:0100005]					A surveillance sampling strategy in which baseline is established at the beginning of a study or project by the selection of sample units via random sampling.	
		GENEPIO:0100006	Targeted surveillance (non-random sampling) [GENEPIO:0100006]					A surveillance sampling strategy in which an aspired outcome is explicitly stated.	
		GENEPIO:0100007		Priority surveillance project [GENEPIO:0100007]				A targeted surveillance strategy which is considered important and/or urgent.	
		GENEPIO:0100009			Longitudinal surveillance (repeat sampling of individuals) [GENEPIO:0100009]			A surveillance strategy in which an individual or site is selected to undergo repeat sampling over a defined period of time.	
		GENEPIO:0100019	Cluster/Outbreak investigation [GENEPIO:0100019]					A sampling strategy in which individuals are chosen for investigation into a disease cluster or outbreak.	
		GENEPIO:0100020		Multi-jurisdictional outbreak investigation [GENEPIO:0100020]				An outbreak investigation sampling strategy in which individuals are chosen for investigation into a disease outbreak that has connections to two or more jurisdictions.	
		GENEPIO:0100021		Intra-jurisdictional outbreak investigation [GENEPIO:0100021]				An outbreak investigation sampling strategy in which individuals are chosen for investigation into a disease outbreak that only has connections within a single jurisdiction.	
		GENEPIO:0100022	Research [GENEPIO:0100022]					A sampling strategy in which sites are sampled in order to perform research.	
		GENEPIO:0100023		Viral passage experiment [GENEPIO:0100023]				A research sampling strategy in which samples are selected in order to perform a viral passage experiment.	
		GENEPIO:0100024		Protocol testing experiment [GENEPIO:0100024]				A research sampling strategy in which samples are collected in order to test a method or protocol.	
		GENEPIO:0100356	Retrospective sequencing [GENEPIO:0100356]					A sampling strategy in which stored samples from past events are sequenced.	
									
geo_loc_name_(country) menu	GeoLocNameCountryMenu	GAZ:00006882	Afghanistan [GAZ:00006882]					A landlocked country that is located approximately in the center of Asia. It is bordered by Pakistan in the south and east Iran in the west, Turkmenistan, Uzbekistan and Tajikistan in the north, and China in the far northeast. Afghanistan is administratively divided into thirty-four (34) provinces (welayats). Each province is then divided into many provincial districts, and each district normally covers a city or several townships. [ url:http://en.wikipedia.org/wiki/Afghanistan ]	
		GAZ:00002953	Albania [GAZ:00002953]					A country in South Eastern Europe. Albania is bordered by Greece to the south-east, Montenegro to the north, Kosovo to the northeast, and the Republic of Macedonia to the east. It has a coast on the Adriatic Sea to the west, and on the Ionian Sea to the southwest. From the Strait of Otranto, Albania is less than 100 km from Italy. Albania is divided into 12 administrative divisions called (Albanian: official qark/qarku, but often prefekture/prefektura Counties), 36 districts (Rrethe) and 351 municipalities (Bashkia) and communes (Komuna). [ url:http://en.wikipedia.org/wiki/Albania ]	
		GAZ:00000563	Algeria [GAZ:00000563]					A country in North Africa. It is bordered by Tunisia in the northeast, Libya in the east, Niger in the southeast, Mali and Mauritania in the southwest, a few km of the Western Sahara in the west, Morocco in the northwest, and the Mediterranean Sea in the north. It divided into 48 provinces (wilayas), 553 districts (dairas) and 1,541 municipalities (communes, baladiyahs). [ url:http://en.wikipedia.org/wiki/Algeria ]	
		GAZ:00003957	American Samoa [GAZ:00003957]					An unincorporated territory of the United States located in the South Pacific Ocean, southeast of the sovereign State of Samoa. The main (largest and most populous) island is Tutuila, with the Manu'a Islands, Rose Atoll, and Swains Island also included in the territory. [ url:http://en.wikipedia.org/wiki/American_Samoa ]	
		GAZ:00002948	Andorra [GAZ:00002948]					A small landlocked country in western Europe, located in the eastern Pyrenees mountains and bordered by Spain (Catalonia) and France. Andorra consists of seven communities known as parishes (Catalan: parroquies, singular - parroquia). Until relatively recently, it had only six parishes; the seventh, Escaldes-Engordany, was created in 1978. Some parishes have a further territorial subdivision. Ordino, La Massana and Sant Julia de Loria are subdivided into quarts (quarters), while Canillo is subdivided into veinats (neighborhoods). Those mostly coincide with villages, which are found in all parishes. [ url:http://en.wikipedia.org/wiki/Andorra ]	
		GAZ:00001095	Angola [GAZ:00001095]					A country in south-central Africa bordering Namibia to the south, Democratic Republic of the Congo to the north, and Zambia to the east, and with a west coast along the Atlantic Ocean. The exclave province Cabinda has a border with the Republic of the Congo and the Democratic Republic of the Congo. [ url:http://en.wikipedia.org/wiki/Angola ]	
		GAZ:00009159	Anguilla [GAZ:00009159]					A British overseas territory in the Caribbean, one of the most northerly of the Leeward Islands in the Lesser Antilles. It consists of the main island of Anguilla itself, approximately 26 km long by 5 km wide at its widest point, together with a number of much smaller islands and cays with no permanent population. [ url:http://en.wikipedia.org/wiki/Anguila ]	
		GAZ:00000462	Antarctica [GAZ:00000462]					The Earth's southernmost continent, overlying the South Pole. It is situated in the southern hemisphere, almost entirely south of the Antarctic Circle, and is surrounded by the Southern Ocean. [ url:http://en.wikipedia.org/wiki/Antarctica ]	
		GAZ:00006883	Antigua and Barbuda [GAZ:00006883]					An island nation located on the eastern boundary of the Caribbean Sea with the Atlantic Ocean. [ url:http://en.wikipedia.org/wiki/Antigua_and_Barbuda ]	
		GAZ:00002928	Argentina [GAZ:00002928]					A South American country, constituted as a federation of twenty-three provinces and an autonomous city. It is bordered by Paraguay and Bolivia in the north, Brazil and Uruguay in the northeast, and Chile in the west and south. The country claims the British controlled territories of the Falkland Islands and South Georgia and the South Sandwich Islands. Argentina also claims 969,464 km2 of Antarctica, known as Argentine Antarctica, overlapping other claims made by Chile and the United Kingdom. Argentina is subdivided into twenty-three provinces (Spanish: provincias, singular provincia) and one federal district (Capital de la Republica or Capital de la Nacion, informally the Capital Federal). The federal district and the provinces have their own constitutions, but exist under a federal system. Provinces are then divided into departments (Spanish: departamentos, singular departamento), except for Buenos Aires Province, which is divided into partidos. [ url:http://en.wikipedia.org/wiki/Argentina ]	
		GAZ:00004094	Armenia [GAZ:00004094]					A landlocked mountainous country in Eurasia between the Black Sea and the Caspian Sea in the Southern Caucasus. It borders Turkey to the west, Georgia to the north, Azerbaijan to the east, and Iran and the Nakhchivan exclave of Azerbaijan to the south. A transcontinental country at the juncture of Eastern Europe and Western Asia. A former republic of the Soviet Union. Armenia is divided into ten marzes (provinces, singular marz), with the city (kaghak) of Yerevan having special administrative status as the country's capital. [ url:http://en.wikipedia.org/wiki/Armenia ]	
		GAZ:00004025	Aruba [GAZ:00004025]					An autonomous region within the Kingdom of the Netherlands, Aruba has no administrative subdivisions. [ url:http://en.wikipedia.org/wiki/Aruba ]	
		GAZ:00005901	Ashmore and Cartier Islands [GAZ:00005901]					A Territory of Australia that includes two groups of small low-lying uninhabited tropical islands in the Indian Ocean situated on the edge of the continental shelf north-west of Australia and south of the Indonesian island of Roti. [ url:http://en.wikipedia.org/wiki/Ashmore_and_Cartier_Islands ]	
		GAZ:00000463	Australia [GAZ:00000463]					A country in the southern hemisphere comprising the mainland of the world's smallest continent, the major island of Tasmania, and a number of other islands in the Indian and Pacific Oceans. The neighbouring countries are Indonesia, East Timor, and Papua New Guinea to the north, the Solomon Islands, Vanuatu, and New Caledonia to the north-east, and New Zealand to the south-east. Australia has six states, two major mainland territories, and other minor territories.	
		GAZ:00002942	Austria [GAZ:00002942]					A landlocked country in Central Europe. It borders both Germany and the Czech Republic to the north, Slovakia and Hungary to the east, Slovenia and Italy to the south, and Switzerland and Liechtenstein to the west. The capital is the city of Vienna on the Danube River. Austria is divided into nine states (Bundeslander). These states are then divided into districts (Bezirke) and cities (Statutarstadte). Districts are subdivided into municipalities (Gemeinden). Cities have the competencies otherwise granted to both districts and municipalities.	
		GAZ:00004941	Azerbaijan [GAZ:00004941]					A country in the he South Caucasus region of Eurasia, it is bounded by the Caspian Sea to the east, Russia to the north, Georgia to the northwest, Armenia to the west, and Iran to the south. The Azerbaijani exclave of Nakhchivan is bordered by Armenia to the north and east, Iran to the south and west, and Turkey to the northwest. Nagorno-Karabakh, along with 7 other districts in Azerbaijan's southwest, have been controlled by Armenia since the end of the Nagorno-Karabakh War in 1994. Azerbaijan is divided into 59 rayons 11 city districts (saharlar), and one autonomous republic (muxtar respublika).	
		GAZ:00002733	Bahamas [GAZ:00002733]					A country consisting of two thousand cays and seven hundred islands that form an archipelago. It is located in the Atlantic Ocean, southeast of Florida and the United States, north of Cuba, the island of Hispanola and the Caribbean, and northwest of the British overseas territory of the Turks and Caicos Islands. It is divided into 32 districts, plus New Providence, whose affairs are handled directly by the central government.	
		GAZ:00005281	Bahrain [GAZ:00005281]					A borderless island country in the Persian Gulf. Saudi Arabia lies to the west and is connected to Bahrain by the King Fahd Causeway, and Qatar is to the south across the Gulf of Bahrain. Bahrain is split into five governorates.	
		GAZ:00007117	Baker Island [GAZ:00007117]					An uninhabited atoll located just north of the equator in the central Pacific Ocean about 3,100 km southwest of Honolulu. Baker Island is an unincorporated and unorganized territory of the US.	
		GAZ:00003750	Bangladesh [GAZ:00003750]					A country in South Asia. It is bordered by India on all sides except for a small border with Myanmar to the far southeast and by the Bay of Bengal to the south. Bangladesh is divided into six administrative divisions. Divisions are subdivided into districts (zila). There are 64 districts in Bangladesh, each further subdivided into upazila (subdistricts) or thana ("police stations").	
		GAZ:00001251	Barbados [GAZ:00001251]					An island country in the Lesser Antilles of the West Indies, in the Caribbean region of the Americas, and the most easterly of the Caribbean Islands. It is 34 kilometres (21 miles) in length and up to 23 km (14 mi) in width, covering an area of 432 km2 (167 sq mi). It is in the western part of the North Atlantic, 100 km (62 mi) east of the Windward Islands and the Caribbean Sea.[7] Barbados is east of the Windwards, part of the Lesser Antilles, at roughly 13°N of the equator. It is about 168 km (104 mi) east of both the countries of Saint Lucia and Saint Vincent and the Grenadines and 180 km (110 mi) south-east of Martinique and 400 km (250 mi) north-east of Trinidad and Tobago. Barbados is outside the principal Atlantic hurricane belt. Its capital and largest city is Bridgetown.	
		GAZ:00005810	Bassas da India [GAZ:00005810]					A roughly circular atoll about 10 km in diameter, which corresponds to a total size (including lagoon) of 80 km2. It is located in the southern Mozambique Channel, about half-way between Madagascar (which is 385 km to the east) and Mozambique, and 110 km northwest of Europa Island. It rises steeply from the seabed 3000 m below.	
		GAZ:00006886	Belarus [GAZ:00006886]					A landlocked country in Eastern Europe, that borders Russia to the north and east, Ukraine to the south, Poland to the west, and Lithuania and Latvia to the north. Its capital is Minsk. Belarus is divided into six voblasts, or provinces. Voblasts are further subdivided into raions (commonly translated as districts or regions). As of 2002, there are six voblasts, 118 raions, 102 towns and 108 urbanized settlements. Minsk is given a special status, due to the city serving as the national capital.	
		GAZ:00002938	Belgium [GAZ:00002938]					A country in northwest Europe. Belgium shares borders with France (620 km), Germany (167 km), Luxembourg (148 km) and the Netherlands (450 km). The Flemish Region (Flanders) and the Walloon Region (Wallonia) each comprise five provinces; the third region, Brussels-Capital Region, is not a province, nor does it contain any Together, these comprise 589 municipalities, which in general consist of several sub-municipalities (which were independent municipalities before the municipal merger operation mainly in 1977).	
		GAZ:00002934	Belize [GAZ:00002934]					A country in Central America. It is the only officially English speaking country in the region. Belize was a British colony for more than a century and was known as British Honduras until 1973. It became an independent nation within The Commonwealth in 1981. Belize is divided into 6 districts, which are further divided into 31 constituencies.	
		GAZ:00000904	Benin [GAZ:00000904]					A country in Western Africa. It borders Togo to the west, Nigeria to the east and Burkina Faso and Niger to the north; its short coastline to the south leads to the Bight of Benin. Its capital is Porto Novo, but the seat of government is Cotonou. Benin is divided into 12 departments and subdivided into 77 communes.	
		GAZ:00001264	Bermuda [GAZ:00001264]					A British overseas territory in the North Atlantic Ocean. Located off the east coast of the United States, it is situated around 1770 km NE of Miami, Florida and 1350 km S of Halifax, Nova Scotia. Comprised of approximately 138 islands.	
		GAZ:00003920	Bhutan [GAZ:00003920]					A landlocked nation in South Asia. It is located amidst the eastern end of the Himalaya Mountains and is bordered to the south, east and west by India and to the north by Tibet. Bhutan is separated from Nepal by the Indian State of Sikkim. Bhutan is divided into four dzongdey (administrative zones). Each dzongdey is further divided into dzongkhag (districts). There are twenty dzongkhag in Bhutan. Large dzongkhags are further divided into subdistricts known as dungkhag. At the basic level, groups of villages form a constituency called gewog.	
		GAZ:00002511	Bolivia [GAZ:00002511]					A landlocked country in central South America. It is bordered by Brazil on the north and east, Paraguay and Argentina on the south, and Chile and Peru on the west. Bolivia is divided into 9 departments (Spanish: departamentos). Each of the departments is subdivided into provinces (provincias), which are further subdivided into municipalities (municipios).	
		GAZ:00025355	Borneo [GAZ:00025355]					An island at the grographic centre of Maritime Southeast Adia, in relation to major Indonesian islands, it is located north of Java, west of Sulawesi, and east of Sumatra. It is the third-largest island in the world and the larest in Asia. The island is politically divided among three countries: Malaysia and Brunei in the north, and Indonesia to the south.[1] Approximately 73% of the island is Indonesian territory. In the north, the East Malaysian states of Sabah and Sarawak make up about 26% of the island. Additionally, the Malaysian federal territory of Labuan is situated on a small island just off the coast of Borneo. The sovereign state of Brunei, located on the north coast, comprises about 1% of Borneo's land area. A little more than half of the island is in the Northern Hemisphere, including Brunei and the Malaysian portion, while the Indonesian portion spans the Northern and Southern hemispheres.	
		GAZ:00006887	Bosnia and Herzegovina [GAZ:00006887]					A country on the Balkan peninsula of Southern Europe. Bordered by Croatia to the north, west and south, Serbia to the east, and Montenegro to the south, Bosnia and Herzegovina is mostly landlocked, except for 26 km of the Adriatic Sea coastline. Bosnia and Herzegovina is now divided into three political regions of which one, the Brcko District is part of the other two, the Federacija Bosne i Hercegovine and the Republika Srpska. All three have an equal constitutional status on the whole territory of Bosnia and Herzegovina.	
		GAZ:00001097	Botswana [GAZ:00001097]					A landlocked nation in Southern Africa. It is bordered by South Africa to the south and southeast, Namibia to the west, Zambia to the north, and Zimbabwe to the northeast. Botswana is divided into nine districts, which are subdivided into a total twenty-eight subdistricts.	
		GAZ:00001453	Bouvet Island [GAZ:00001453]					A sub-antarctic volcanic island in the South Atlantic Ocean, south-southwest of the Cape of Good Hope (South Africa). It is a dependent area of Norway and is not subject to the Antarctic Treaty, as it is north of the latitude south of which claims are suspended.	
		GAZ:00002828	Brazil [GAZ:00002828]					A country in South America. Bordered by the Atlantic Ocean and by Venezuela, Suriname, Guyana and the department of French Guiana to the north, Colombia to the northwest, Bolivia and Peru to the west, Argentina and Paraguay to the southwest, and Uruguay to the south. Federation of twenty-six states (estados) and one federal district (Distrito Federal). The states are subdivided into municipalities. For statistical purposes, the States are grouped into five main regions: North, Northeast, Central-West, Southeast and South.	
		GAZ:00003961	British Virgin Islands [GAZ:00003961]					A British overseas territory, located in the Caribbean to the east of Puerto Rico. The islands make up part of the Virgin Islands archipelago, the remaining islands constituting the US Virgin Islands. The British Virgin Islands consist of the main islands of Tortola, Virgin Gorda, Anegada and Jost Van Dyke, along with over fifty other smaller islands and cays. Approximately fifteen of the islands are inhabited.	
		GAZ:00003901	Brunei [GAZ:00003901]					A country located on the north coast of the island of Borneo, in Southeast Asia. Apart from its coastline with the South China Sea it is completely surrounded by the State of Sarawak, Malaysia, and in fact it is separated into two parts by Limbang, which is part of Sarawak. Brunei is divided into four districts (daerah), the districts are subdivided into thirty-eight mukims, which are then divided into kampong (villages).	
		GAZ:00002950	Bulgaria [GAZ:00002950]					A country in Southeastern Europe, borders five other countries; Romania to the north (mostly along the Danube), Serbia and the Republic of Macedonia to the west, and Greece and Turkey to the south. The Black Sea defines the extent of the country to the east. Since 1999, it has consisted of twenty-eight provinces. The provinces subdivide into 264 municipalities.	
		GAZ:00000905	Burkina Faso [GAZ:00000905]					A landlocked nation in West Africa. It is surrounded by six countries: Mali to the north, Niger to the east, Benin to the south east, Togo and Ghana to the south, and Cote d'Ivoire to the south west. Burkina Faso is divided into thirteen regions, forty-five provinces, and 301 departments (communes).	
		GAZ:00001090	Burundi [GAZ:00001090]					A small country in the Great Lakes region of Africa. It is bordered by Rwanda on the north, Tanzania on the south and east, and the Democratic Republic of the Congo on the west. Although the country is landlocked, much of its western border is adjacent to Lake Tanganyika. Burundi is divided into 17 provinces, 117 communes, and 2,638 collines.	
		GAZ:00006888	Cambodia [GAZ:00006888]					A country in Southeast Asia. The country borders Thailand to its west and northwest, Laos to its northeast, and Vietnam to its east and southeast. In the south it faces the Gulf of Thailand.	
		GAZ:00001093	Cameroon [GAZ:00001093]					A country of central and western Africa. It borders Nigeria to the west; Chad to the northeast; the Central African Republic to the east; and Equatorial Guinea, Gabon, and the Republic of the Congo to the south. Cameroon's coastline lies on the Bight of Bonny, part of the Gulf of Guinea and the Atlantic Ocean. The Republic of Cameroon is divided into ten provinces and 58 divisions or departments. The divisions are further sub-divided into sub-divisions (arrondissements) and districts.	
		GAZ:00002560	Canada [GAZ:00002560]					A country occupying most of northern North America, extending from the Atlantic Ocean in the east to the Pacific Ocean in the west and northward into the Arctic Ocean. Canada is a federation composed of ten provinces and three territories; in turn, these may be grouped into regions. Western Canada consists of British Columbia and the three Prairie provinces (Alberta, Saskatchewan, and Manitoba). Central Canada consists of Quebec and Ontario. Atlantic Canada consists of the three Maritime provinces (New Brunswick, Prince Edward Island, and Nova Scotia), along with Newfoundland and Labrador. Eastern Canada refers to Central Canada and Atlantic Canada together. Three territories (Yukon, Northwest Territories, and Nunavut) make up Northern Canada.	
		GAZ:00001227	Cape Verde [GAZ:00001227]					A republic located on an archipelago in the Macaronesia ecoregion of the North Atlantic Ocean, off the western coast of Africa. Cape Verde is divided into 22 municipalities (concelhos), and subdivided into 32 parishes (freguesias).	
		GAZ:00003986	Cayman Islands [GAZ:00003986]					A British overseas territory located in the western Caribbean Sea, comprising the islands of Grand Cayman, Cayman Brac, and Little Cayman. The Cayman Islands are divided into seven districts.	
		GAZ:00001089	Central African Republic [GAZ:00001089]					A landlocked country in Central Africa. It borders Chad in the north, Sudan in the east, the Republic of the Congo and the Democratic Republic of the Congo in the south, and Cameroon in the west. The Central African Republic is divided into 14 administrative prefectures (prefectures), along with 2 economic prefectures (prefectures economiques) and one autonomous commune. The prefectures are further divided into 71 sub-prefectures (sous-prefectures).	
