title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description						
		NCBITaxon:1335		Streptococcus bovis [NCBITaxon:1335]				A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is positive for arginine deamination and negative for catalase, oxidase, hemolysis, growth in 6.5% NaCl and urease. It can ferment raffinose but not arabinose, mannitol, lactose or glycerol. S. bovis is found in the alimentary tract of ruminants and is a human pathogen that can cause bacteremia, sepsis or endocarditis.[http://purl.obolibrary.org/obo/NCIT_C86784]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1335		Streptococcus equinus [NCBITaxon:1335]				A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is positive for Lancefield group D and esculin hydrolysis and negative for catalase, arginine deaminase, growth in 6.5% NaCl and pyrrolidonylarylamidase. It can ferment trehalose but not mannitol, melibiose or sorbitol. S. equinus is commensal in many animals and can be a human pathogen that causes a variety of opportunistic infections.[http://purl.obolibrary.org/obo/NCIT_C86790]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:315405		Streptococcus gallolyticus [NCBITaxon:315405]				A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is positive for gallate degradation, esculin hydrolysis and Lancefield group D and negative for catalase, hemolysis, growth in 6.5% NaCl and pyrrolidonylarylamidase. It can ferment cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, melibiose and trehalose but not ribose or sorbitol. S. gallolyticus is commensal in the human alimentary tract and is a pathogen that can cause septicemia and endocarditis. [http://purl.obolibrary.org/obo/NCIT_C86791]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:102684		Streptococcus infantarius [NCBITaxon:102684]				A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is positive for esculin hydrolysis, alpha galactosidase and Lancefield group D and negative for catalase, arginine deaminase, growth in 6.5% NaCl, pyrrolidonylarylamidase and urease. It can ferment melibiose, lactose and sucrose but not mannitol, sorbitol, inulin or trehalose. S infantarius has been isolated from infants and is a human pathogen that can cause hepatobiliary bacteremia. [http://purl.obolibrary.org/obo/NCIT_C86793]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:150055		Streptococcus lutetiensis [NCBITaxon:150055]				A species of Gram-positive, non-sporulating, non-motile coccus-shaped bacteria in the order Lactobacillales. S.lutetiensis is positive for alpha-galactosidase and beta-glucosidase and negative for catalase, urease, alkaline phosphatase, beta-glactosidase, and beta-glucuronidase. The species has been isolated from human cerebrospinal fluid, urine, and stool.. [http://purl.obolibrary.org/obo/NCIT_C124409]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:59310		Streptococcus macedonicus [NCBITaxon:59310]				A species among the Streptococcus thermophilus-like micro-organisms that belong to the S. bovis/S. equinus complex. It was first isolated from naturally fermented Greek Kasseri cheese and possesses a food-grade and non-pathogenic status.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:197614		Streptococcus pasteurianus [NCBITaxon:197614]				A species of Streptococcus that is a member of Group D streptococci and was formerly known as S. bovis biotype II/2.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1307		Streptococcus suis [NCBITaxon:1307]				A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is beta glucuronidase and arginine deaminase positive, hydrolyzes esculin, alpha hemolytic, Lancefield groups R, S, and T positive, catalase and pyrrolidonylarylamidase negative and does not grow in 6.5% NaCl. It can ferment sucrose, lactose, glucose, galactose, maltose, salicin, trehalose, and inulin but not arabinose, mannitol, melibiose, ribose, or sorbitol. S. suis is found in pigs where it can cause cervical abscesses. Contact of infected pigs by humans can result in meningitis, septicemia, endocarditis, and deafness. [http://purl.obolibrary.org/obo/NCIT_C86807]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:662	Vibrio [NCBITaxon:662]					A genus of Gram-negative bacteria with a curved rod shape in the phylum Proteobacteria. [http://purl.obolibrary.org/obo/NCIT_C76386]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:666		Vibrio cholerae [NCBITaxon:666]				A species of the genus Vibrio which is a Gram-negative, facultative anaerobe and comma-shaped bacteria. [https://en.wikipedia.org/wiki/Vibrio_cholerae]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:670		Vibrio parahaemolyticus [NCBITaxon:670]				A species of facultatively anaerobic, Gram negative, curved rod shaped bacteria assigned to the phylum Proteobacteria. This species is motile, oxidase and lysine decarboxylase positive, hemolytic, halophilic and can use a wide variety of sugars as carbon sources. V. parahaemolyticus is a marine organism and a pathogen that causes gastroenteritis and wound infections.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
														
sequencing_assay_type menu	SequencingAssayTypeMenu	OBI:0002767	Amplicon sequencing assay [OBI:0002767]					A sequencing assay in which a DNA or RNA input molecule is amplified by PCR and the product sequenced.						
		OBI:0002763		16S ribosomal gene sequencing assay [OBI:0002763]				An amplicon sequencing assay in which the amplicon is derived from universal primers used to amplify the 16S ribosomal RNA gene from isolate bacterial genomic DNA or metagenomic DNA from a microbioal community. Resulting sequences are compared to reference 16S sequence databases to identify or classify bacteria present within a given sample.						
		OBI:0002117	Whole genome sequencing assay [OBI:0002117]					A DNA sequencing assay that intends to provide information about the sequence of an entire genome of an organism.						
		OBI:0002623	Whole metagenome sequencing assay [OBI:0002623]					A DNA sequencing assay that intends to provide information on the DNA sequences of multiple genomes (a metagenome) from different organisms present in the same input sample.						
		OBI:0002768		Whole virome sequencing assay [OBI:0002768]				A whole metagenome sequencing assay that intends to provide information on multiple genome sequences from different viruses present in the same input sample.						
														
sequencing_platform menu	SequencingPlatformMenu	GENEPIO:0001923	Illumina [GENEPIO:0001923]					A sequencing platform provided by the Illumina company.						
		GENEPIO:0001927	Pacific Biosciences [GENEPIO:0001927]					A sequencing platform provided by the Pacific Biosciences company.						
		GENEPIO:0002683	Ion Torrent [GENEPIO:0002683]					A sequencing platform provided by the Ion Torrent company.						
		OBI:0002755	Oxford Nanopore Technologies [OBI:0002755]					An organization that is developing and selling nanopore sequencing products and is based in the UK.						
		GENEPIO:0004324	BGI Genomics [GENEPIO:0004324]					A sequencing platform provided by the BGI Genomics company.						
		GENEPIO:0004325	MGI [GENEPIO:0004325]					A sequencing platform provided by the MGI company.						
														
sequencing_instrument menu	SequencingInstrumentMenu	GENEPIO:0100105	Illumina [GENEPIO:0100105]					A DNA sequencer manufactured by the Illumina corporation.						
		OBI:0002128		Illumina Genome Analyzer [OBI:0002128]				A DNA sequencer manufactured by Solexa as one of its first sequencer lines, launched in 2006, and capable of sequencing 1 gigabase (Gb) of data in a single run.						
		OBI:0000703		Illumina Genome Analyzer II [OBI:0000703]				A DNA sequencer manufactured by the Illumina (Solexa) corporation, which supports sequencing of single or paired end clone libraries relying on sequencing by synthesis technology.						
		OBI:0002000		Illumina Genome Analyzer IIx [OBI:0002000]				An Illumina Genome Analyzer II which is manufactured by the Illumina corporation. It supports sequencing of single, long or short insert paired end clone libraries relying on sequencing by synthesis technology. The Genome Analyzer IIx is the most widely adopted next-generation sequencing platform and proven and published across the broadest range of research applications.						
		GENEPIO:0100109		Illumina HiScanSQ [GENEPIO:0100109]				A DNA sequencer manufactured by the Illumina corporation using sequence-by-synthesis chemistry, and contains a HiScan Reader for sequencing and microarray-based analyses as well as an "SQ Module" to support microfluidics.						
		GENEPIO:0100110		Illumina HiSeq [GENEPIO:0100110]				A DNA sequencer manufactured by the Illumina corporation using sequence-by-synthesis chemistry, enabling deep sequencing and high yield.						
		GENEPIO:0100111			Illumina HiSeq X [GENEPIO:0100111]			A DNA sequencer manufactured by the Illumina corporation using sequence-by-synthesis chemistry that oenabled sufficent depth and coverage to produce the first 30x human genome for $1000.						
		GENEPIO:0100112			Illumina HiSeq X Five [GENEPIO:0100112]			A DNA sequencer manufactured by the Illumina corporation using sequence-by-synthesis chemistry that consists of a set of 5 HiSeq X Sequencing Systems.						
		OBI:0002129			Illumina HiSeq X Ten [OBI:0002129]			A DNA sequencer that consists of a set of 10 HiSeq X Sequencing Systems.						
		OBI:0002022			Illumina HiSeq 1000 [OBI:0002022]			A DNA sequencer which is manufactured by the Illumina corporation, with a single flow cell and a throughput of up to 35 Gb per day. It supports sequencing of single, long or short insert paired end clone libraries relying on sequencing by synthesis technology.						
		OBI:0003386			Illumina HiSeq 1500 [OBI:0003386]			A DNA sequencer which is manufactured by the Illumina corporation, with a single flow cell and a throughput of up to 35-50 Gb per day.						
		OBI:0002001			Illumina HiSeq 2000 [OBI:0002001]			A DNA sequencer which is manufactured by the Illumina corporation, with two flow cells and a throughput of up to 55 Gb per day. Built upon sequencing by synthesis technology, the machine is optimized for generation of data for multiple samples in a single run.						
		OBI:0002002			Illumina HiSeq 2500 [OBI:0002002]			A DNA sequencer which is manufactured by the Illumina corporation, with two flow cells and a throughput of up to 160 Gb per day. Built upon sequencing by synthesis technology, the machine is optimized for generation of data for batching multiple samples or rapid results on a few samples.						
		OBI:0002048			Illumina HiSeq 3000 [OBI:0002048]			A DNA sequencer manufactured by Illumina corporation, with a single flow cell and a throughput of more than 200 Gb per day.						
		OBI:0002049			Illumina HiSeq 4000 [OBI:0002049]			A DNA sequencer manufactured by Illumina corporation, with two flow cell and a throughput of more than 400 Gb per day.						
		GENEPIO:0100120		Illumina iSeq [GENEPIO:0100120]				A DNA sequencer manufactured by the Illumina corporation using sequence-by-synthesis chemistry that is lightweight.						
		GENEPIO:0100121			Illumina iSeq 100 [GENEPIO:0100121]			A DNA sequencer manufactured by the Illumina corporation using sequence-by-synthesis chemistry that is lightweight and has an output capacity between 144MB-1.2GB.						
		GENEPIO:0100122		Illumina NovaSeq [GENEPIO:0100122]				A DNA sequencer manufactured by the Illunina corporation using sequence-by-synthesis chemistry that has an output capacirty of 6 Tb and 20 billion reads in dual flow cell mode.						
		OBI:0002630			Illumina NovaSeq 6000 [OBI:0002630]			A DNA sequencer which is manufactured by the Illumina corporation, with two flow cells and an output of up to 6000 Gb (32-40 B reads per run). The sequencer utilizes synthesis technology and patterned flow cells to optimize throughput and even spacing of sequencing clusters.						
		OBI:0003114		Illumina MiniSeq [OBI:0003114]				A DNA sequencer which is manufactured by the Illumina corporation using sequence-by-synthesis chemistry that fits on a benchtop and has an output capacity of 1.65-7.5 Gb.						
		OBI:0002003		Illumina MiSeq [OBI:0002003]				A DNA sequencer which is manufactured by the Illumina corporation. Built upon sequencing by synthesis technology, the machine provides an end-to-end solution (cluster generation, amplification, sequencing, and data analysis) in a single machine.						
		GENEPIO:0100126		Illumina NextSeq [GENEPIO:0100126]				A DNA sequencer which is manufactured by the Illumina corporation using sequence-by-synthesis chemistry that fits on a benchtop and has an output capacity of 1.65-7.5 Gb.						
		OBI:0002021			Illumina NextSeq 500 [OBI:0002021]			A DNA sequencer which is a desktop sequencer ideal for smaller-scale studies manufactured by the Illumina corporation. It supports sequencing of single, long or short insert paired end clone libraries relying on sequencing by synthesis technology.						
		GENEPIO:0100128			Illumina NextSeq 550 [GENEPIO:0100128]			A DNA sequencer which is a desktop sequencer ideal for smaller-scale studies manufactured by the Illumina corporation. It supports sequencing of single, long or short insert paired end clone libraries relying on sequencing by synthesis technology. The 550 is an upgrade on the 500 model.						
		OBI:0003606			Illumina NextSeq 1000 [OBI:0003606]			A DNA sequencer which is manufactured by the Illumina corporation using sequence-by-synthesis chemistry that fits on a benchtop and uses P1 and P2 flow cells.						
		GENEPIO:0100129			Illumina NextSeq 2000 [GENEPIO:0100129]			A DNA sequencer which is manufactured by the Illumina corporation using sequence-by-synthesis chemistry that fits on a benchtop and has an output capacity of 30-360 Gb.						
		GENEPIO:0100130	PacBio [GENEPIO:0100130]					A DNA sequencer manufactured by the Pacific Biosciences corporation.						
		GENEPIO:0100131		PacBio RS [GENEPIO:0100131]				A DNA sequencer manufactured by the Pacific Biosciences corporation which utilizes “SMRT Cells” for single-molecule real-time sequencing. The RS was the first model made by the company.						
		OBI:0002012		PacBio RS II [OBI:0002012]				A DNA sequencer which is manufactured by the Pacific Biosciences corporation. Built upon single molecule real-time sequencing technology, the machine is optimized for generation with long reads and high consensus accuracy.						
		OBI:0002632		PacBio Sequel [OBI:0002632]				A DNA sequencer built upon single molecule real-time sequencing technology, optimized for generation with long reads and high consensus accuracy, and manufactured by the Pacific Biosciences corporation						
		OBI:0002633		PacBio Sequel II [OBI:0002633]				A DNA sequencer built upon single molecule real-time sequencing technology, optimized for generation of highly accurate ("HiFi") long reads, and which is manufactured by the Pacific Biosciences corporation.						
		GENEPIO:0100135	Ion Torrent [GENEPIO:0100135]					A DNA sequencer manufactured by the Ion Torrent corporation.						
		GENEPIO:0100136		Ion Torrent PGM [GENEPIO:0100136]				A DNA sequencer manufactured by the Ion Torrent corporation which utilizes Ion semiconductor sequencing and has an output capacity of 300 MB - 1GB.						
		GENEPIO:0100137		Ion Torrent Proton [GENEPIO:0100137]				A DNA sequencer manufactured by the Ion Torrent corporation which utilizes Ion semiconductor sequencing and has an output capacity of up to 15 Gb.						
		GENEPIO:0100138		Ion Torrent S5 XL [GENEPIO:0100138]				A DNA sequencer manufactured by the Ion Torrent corporation which utilizes Ion semiconductor sequencing and requires only a small amount of input material while producing data faster than the S5 model.						
		GENEPIO:0100139		Ion Torrent S5 [GENEPIO:0100139]				A DNA sequencer manufactured by the Ion Torrent corporation which utilizes Ion semiconductor sequencing and requires only a small amount of input material.						
		GENEPIO:0100140	Oxford Nanopore [GENEPIO:0100140]					A DNA sequencer manufactured by the Oxford Nanopore corporation.						
		GENEPIO:0004433		Oxford Nanopore Flongle [GENEPIO:0004433]				An adapter for MinION or GridION DNA sequencers manufactured by the Oxford Nanopore corporation that enables sequencing on smaller, single-use flow cells.						
		GENEPIO:0100141		Oxford Nanopore GridION [GENEPIO:0100141]				A DNA sequencer that is manufactured by the Oxford Nanopore Technologies corporation, that can run and analyze up to five individual flow cells producing up to 150 Gb of data per run. The sequencer produces real-time results and utilizes nanopore technology with the option of running the flow cells concurrently or individual						
		OBI:0002750		Oxford Nanopore MinION [OBI:0002750]				A portable DNA sequencer which is manufactured by the Oxford Nanopore Technologies corporation, that uses consumable flow cells producing up to 30 Gb of DNA sequence data per flow cell. The sequencer produces real-time results and utilizes nanopore technology with up to 512 nanopore channels in the sensor array.						
		OBI:0002752		Oxford Nanopore PromethION [OBI:0002752]				A DNA sequencer that is manufactured by the Oxford Nanopore Technologies corporation, capable of running up to 48 flow cells and producing up to 7.6 Tb of data per run. The sequencer produces real-time results and utilizes Nanopore technology, with each flow cell allowing up to 3,000 nanopores to be sequencing simultaneously.						
		GENEPIO:0100144	BGISEQ [GENEPIO:0100144]					A DNA sequencer manufactured by the BGI Genomics corporation.						
		GENEPIO:0100145		BGISEQ-500 [GENEPIO:0100145]				A DNA sequencer manufactured by the BGI Genomics corporation that utilizes Probe-Anchor Synthesis (cPAS) chemistry and "DNA Nanoballs".						
		GENEPIO:0100146	DNBSEQ [GENEPIO:0100146]					A DNA sequencer manufactured by the MGI corporation.						
		GENEPIO:0100147		DNBSEQ-T7 [GENEPIO:0100147]				A high throughput DNA sequencer manufactured by the MGI corporation with an output capacity of 1~6TB of data per day.						
		GENEPIO:0100148		DNBSEQ-G400 [GENEPIO:0100148]				A DNA sequencer manufactured by the MGI corporation with an output capacity of 55GB~1440GB per run.						
		GENEPIO:0100149		DNBSEQ-G400 FAST [GENEPIO:0100149]				A DNA sequencer manufactured by the MGI corporation with an outout capacity of 55GB~330GB per run, which enables faster sequencing than the DNBSEQ-G400.						
		GENEPIO:0100150		DNBSEQ-G50 [GENEPIO:0100150]				A DNA sequencer manufactured by the MGI corporation with an output capacity of 10～150 GB per run and enables different read lengths.						
														
purpose_of_sequencing menu	PurposeOfSequencingMenu  	GENEPIO:0100001	Cluster/Outbreak investigation [GENEPIO:0100001]					A sampling strategy in which individuals are chosen for investigation into a disease cluster or outbreak.						
		GENEPIO:0100002	Diagnostic testing [GENEPIO:0100002]					A sampling strategy in which individuals are sampled in the context of diagnostic testing.						
		GENEPIO:0100548	Environmental testing [GENEPIO:0100548]					A sampling strategy in which environments are sampled in the context of testing for the presence of, or change in the levels of, chemicals, pathogens or other phenomena.						
		GENEPIO:0100003	Research [GENEPIO:0100003]					A sampling strategy in which individuals are sampled in order to perform research.						
		GENEPIO:0100549		Clinical trial [GENEPIO:0100549]				A sampling strategy in which individuals are sampled in the context of experiments or observations performed as part of clinical research. 						
		GENEPIO:0100550		Field experiment [GENEPIO:0100550]				A sampling strategy in which samples are taken during real-life experiments which test directly whether proposed interventions actually work. 						
		GENEPIO:0100024		Protocol testing experiment [GENEPIO:0100024]				A research sampling strategy in which samples are collected in order to test a method or protocol.						
		GENEPIO:0100582		Survey study [GENEPIO:0100582]				A sampling strategy in which individuals and/or materials are sampled for surveillance performed for research purposes.						
		GENEPIO:0100004	Surveillance [GENEPIO:0100004]					A sampling strategy in which individuals are sampled for surveillance investigations.						
														
antimicrobial_agent_name menu	AntimicrobialAgentNameMenu	CHEBI:2637	Amikacin [CHEBI:2637]					An amino cyclitol glycoside that is kanamycin A acylated at the N-1 position by a 4-amino-2-hydroxybutyryl group.						
		ARO:3003997	Amoxicillin-clavulanic acid [ARO:3003997]					A fixed combination of Amoxicillin and Clavulanic Acid, which inhibits beta-lactamase, a bacterial enzyme that inactivates amoxicillin.						
		CHEBI:28971	Ampicillin [CHEBI:28971]					A penicillin in which the substituent at position 6 of the penam ring is a 2-amino-2-phenylacetamido group.						
		CHEBI:2955	Azithromycin [CHEBI:2955]					A macrolide antibiotic useful for the treatment of bacterial infections.						
		CHEBI:474053	Cefazolin [CHEBI:474053]					A first-generation cephalosporin compound having [(5-methyl-1,3,4-thiadiazol-2-yl)sulfanyl]methyl and (1H-tetrazol-1-ylacetyl)amino side-groups at positions 3 and 7 respectively.						
		CHEBI:478164	Cefepime [CHEBI:478164]					A cephalosporin bearing (1-methylpyrrolidinium-1-yl)methyl and (2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetamido groups at positions 3 and 7, respectively, of the cephem skeleton.						
		CHEBI:204928	Cefotaxime [CHEBI:204928]					A cephalosporin compound having acetoxymethyl and [2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino side groups.						
		ARO:3004710	Cefotaxime-clavulanic acid [ARO:3004710]					An antibiotic cocktail containing the cephalosporin antibiotic cefotaxime and the beta-lactamase inhibitor clavulanic acid.						
		CHEBI:209807	Cefoxitin [CHEBI:209807]					A semisynthetic cephamycin antibiotic which, in addition to the methoxy group at the 7alpha position, has 2-thienylacetamido and carbamoyloxymethyl side-groups. 						
		CHEBI:3504	Cefpodoxime [CHEBI:3504]					A third-generation cephalosporin antibiotic with methoxymethyl and (2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetamino substituents at positions 3 and 7, respectively, of the cephem skeleton. 						
		CHEBI:3508	Ceftazidime [CHEBI:3508]					A third-generation cephalosporin antibiotic bearing pyridinium-1-ylmethyl and {[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-{[(2-carboxypropan-2-yl)oxy]imino}acetamido groups at positions 3 and 7, respectively, of the cephem skeleton.						
		ARO:3004705	Ceftazidime-clavulanic acid [ARO:3004705]					An antibiotic cocktail containing the cephalosporin antibiotic ceftazidime and the beta-lactamase inhibitor clavulanic acid.						
		ARO:3004006	Ceftiofur [ARO:3004006]					A third-generation broad spectrum cephalosporin and beta-lactam antibiotic. It causes cell lysis by disrupting peptidoglycan cross-linkage and cell wall formation by binding to PBPs.						
		CHEBI:29007	Ceftriaxone [CHEBI:29007]					A third-generation cephalosporin compound having 2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetylamino and [(2-methyl-5,6-dioxo-1,2,5,6-tetrahydro-1,2,4-triazin-3-yl)sulfanyl]methyl side-groups.						
		NCIT:C62021	Cephalothin					A semisynthetic, beta-lactam, first-generation cephalosporin antibiotic with bactericidal activity. Cephalothin binds to and inactivates penicillin-binding proteins (PBP) located on the inner membrane of the bacterial cell wall.						
		CHEBI:17698	Chloramphenicol					An organochlorine compound that is dichloro-substituted acetamide containing a nitrobenzene ring, an amide bond and two alcohol functions.						
		CHEBI:100241	Ciprofloxacin					A quinolone that is quinolin-4(1H)-one bearing cyclopropyl, carboxylic acid, fluoro and piperazin-1-yl substituents at positions 1, 3, 6 and 7, respectively.						
		CHEBI:3745	Clindamycin					A carbohydrate-containing antibiotic that is the semisynthetic derivative of lincomycin, a natural antibiotic.						
		CHEBI:50845	Doxycycline					A semi-synthetic tetracycline antibiotic in which the 5beta-hydrogen is replaced by a hydroxy group, while the 6alpha-hydroxy group is replaced by hydrogen. 						
		CHEBI:35720	Enrofloxacin					A quinolinemonocarboxylic acid that is 1,4-dihydroquinoline-3-carboxylic acid substituted by an oxo group at position 4, a fluoro group at position 6, a cyclopropyl group at position 1 and a 4-ethylpiperazin-1-yl group at position 7.						
		CHEBI:48923	Erythromycin					Any of several wide-spectrum macrolide antibiotics obtained from actinomycete Saccharopolyspora erythraea (formerly known as Streptomyces erythraeus).						
		CHEBI:87185	Florfenicol					A carboxamide that is the N-dichloroacetyl derivative of (1R,2S)-2-amino-3-fluoro-1-[4-(methanesulfonyl)phenyl]propan-1-ol. A synthetic veterinary antibiotic that is used for treatment of bovine respiratory disease and foot rot; also used in aquaculture.						
		CHEBI:17833	Gentamicin					Gentamicin is a parenterally administered, broad spectrum aminoglycoside antibiotic typically used for moderate to severe gram negative infections.						
		CHEBI:471744	Imipenem					A broad-spectrum, intravenous beta-lactam antibiotic of the carbapenem subgroup.						
		CHEBI:6104	Kanamycin					Kanamycin is a naturally occurring antibiotic complex from Streptomyces kanamyceticus that consists of several components: kanamycin A, the major component (also usually designated as kanamycin), and kanamycins B, C, D and X the minor components.						
		CHEBI:63598	Levofloxacin					An optically active form of ofloxacin having (S)-configuration; an inhibitor of bacterial topoisomerase IV and DNA gyrase						
		CHEBI:63607	Linezolid					An organofluorine compound that consists of 1,3-oxazolidin-2-one bearing an N-3-fluoro-4-(morpholin-4-yl)phenyl group as well as an acetamidomethyl group at position 5. A synthetic antibacterial agent that inhibits bacterial protein synthesis by binding to a site on 23S ribosomal RNA of the 50S subunit and prevents further formation of a functional 70S initiation complex.						
		CHEBI:43968	Meropenem					A carbapenemcarboxylic acid in which the azetidine and pyrroline rings carry 1-hydroxymethyl and in which the azetidine and pyrroline rings carry 1-hydroxymethyl and 5-(dimethylcarbamoyl)pyrrolidin-3-ylthio substituents respectively.						
		CHEBI:100147	Nalidixic acid					A monocarboxylic acid comprising 1,8-naphthyridin-4-one substituted by carboxylic acid, ethyl and methyl groups at positions 3, 1, and 7, respectively. An orally administered antibacterial, it is used in the treatment of lower urinary-tract infections due to Gram-negative bacteria						
		CHEBI:7507	Neomycin					A broad-spectrum highly toxic antibiotic or mixture of antibiotics produced by a streptomyces (Streptomyces fradiae) and used medically especially to treat local infections.						
		CHEBI:71415	Nitrofurantoin					An imidazolidine-2,4-dione that is hydantoin substituted at position 1 by a [(5-nitro-2-furyl)methylene]amino group. An antibiotic that damages bacterial DNA.						
		CHEBI:100246	Norfloxacin					A quinolinemonocarboxylic acid with broad-spectrum antibacterial activity against most gram-negative and gram-positive bacteria.						
		CHEBI:138856	Oxolinic acid					A quinolinemonocarboxylic acid having the carboxy group at position 7 as well as oxo and ethyl groups at positions 4 and 1 respectively and a dioxolo ring fused at the 5- and 6-positions. 						
		CHEBI:27701	Oxytetracycline					A tetracycline used for treatment of infections caused by a variety of Gram positive and Gram negative microorganisms including Mycoplasma pneumoniae, Pasteurella pestis, Escherichia coli, Haemophilus influenzae (respiratory infections), and Diplococcus pneumoniae.						
		CHEBI:17334	Penicillin					Any member of the group of substituted penams containing two methyl substituents at position 2, a carboxylate substituent at position 3 and a carboxamido group at position 6.						
		CHEBI:8232	Piperacillin					A penicillin in which the substituent at position 6 of the penam ring is a 2-[(4-ethyl-2,3-dioxopiperazin-1-yl)carboxamido]-2-phenylacetamido group.						
		ARO:3004021	Piperacillin-tazobactam					An antibiotic cocktail containing the penam beta-lactam antibiotic Piperacillin and the beta-lactamase inhibitor Tazobactam.						
		ARO:3000454	Polymyxin B					Polymyxin B is mixture of mostly polymyxins B1 and B2, mainly used for resistant gram-negative infections.						
		ARO:3004022	Quinupristin-dalfopristin					An antibiotic cocktail of the streptogramin A dalfopristin and the streptogramin B quinupristin antibiotics.						
		CHEBI:17076	Streptomycin					A amino cyclitol glycoside that consists of streptidine having a disaccharyl moiety attached at the 4-position. The parent of the streptomycin class						
		CHEBI:102484	Sulfisoxazole					A sulfonamide antibacterial with an oxazole substituent. It has antibiotic activity against a wide range of gram-negative and gram-positive organisms.						
		ARO:0000057	Telithromycin					Telithromycin is a semi-synthetic derivative of erythromycin. It is a 14-membered macrolide and is the first ketolide antibiotic to be used in clinics. Telithromycin binds the 50S subunit of the bacterial ribosome to inhibit protein synthesis.						
		CHEBI:27902	Tetracycline					A broad-spectrum polyketide antibiotic produced by the Streptomyces genus of actinobacteria.						
		CHEBI:149836	Tigecycline					Tetracycline in which the hydroxy group at position 5 and the methyl group at position 6 are replaced by hydrogen, and with a dimethylamino substituent and an (N-tert-butylglycyl)amino substituent at positions 7 and 9, respectively. A glycylcycline antibiotic, it has activity against a broad range of Gram-positive and Gram-negative bacteria, including tetracycline-resistant organisms.						
		ARO:3004024	Trimethoprim-sulfamethoxazole					An antibiotic cocktail containing the diaminopyrimidine antibiotic Trimethoprim and the sulfonamide antibiotic sulfamethoxazole (1 TMP:5 SMX).						
														
														
AMR_phenotype menu	AmrPhenotypeMenu	GENEPIO:0002040	Antibiotic resistance not defined [GENEPIO:0002040]					A not defined resistance indicates that an isolate was not tested against a given antibiotic, or the result of the test was inconclusive.						
		ARO:3004300		Intermediate antimicrobial phenotype [ARO:3004300]				Intermediate sensitivity of a bacterial strain to a given antibiotic occurs when it is inhibited by a concentration of the drug that is associated with uncertain therapeutic effect. The elimination of intermediate phenotype bacteria may depend on the site of infection and/or the concentration of the administered drug.						
		GENEPIO:0100585		Indeterminate antimicrobial phenotype [GENEPIO:0100585]				A not defined resistance which indicates that the result of the test was inconclusive.						
		ARO:3004303	Nonsusceptible antimicrobial phenotype [ARO:3004303]					A bacterial strain is said to be nonsusceptible to a given antibiotic drug if it demonstrates either an intermediate or resistant phenotype when exposed to a concentration of a drug that is associated with a high likelihood of therapeutic failure, i.e. if the bacterial strain is not susceptible to the antibiotic drug but not necessarily totally resistant under all conditions.						
		ARO:3004301	Resistant antimicrobial phenotype [ARO:3004301]					A bacterial strain is said to be resistant to a given antibiotic when it is inhibited in vitro by a concentration of this drug that is associated with a high likelihood of therapeutic failure.						
		ARO:3004302	Susceptible antimicrobial phenotype [ARO:3004302]					A bacterial strain is said to be susceptible to a given antibiotic when it is inhibited in vitro by a concentration of a drug that is associated with a high likelihood of therapeutic success						
		ARO:3004304	Susceptible dose dependent antimicrobial phenotype [ARO:3004304]					A bacterial strain is said to be susceptible-dose dependent (SDD) to a given antibiotic when growth is inhibited with a high likelihood of therapeutic success, but when multiple approved dosing options exist. When a higher or more frequent dose is used, the predicted therapeutic result is the same as for susceptible individuals.						
														
AMR_measurement_units menu	AmrMeasurementUnitsMenu	UO:0000273	milligram per litre (mg/L) [UO:0000273]					A mass unit density which is equal to mass of an object in milligrams divided by the volume in liters.						
		UO:0000016	millimetre (mm) [UO:0000016]					A length unit which is equal to one thousandth of a meter or 10^[-3] m						
		UO:0000274	microgram per millilitre (ug/mL) [UO:0000274]					A mass unit density which is equal to mass of an object in micrograms divided by the volume in millliters.						
														
														
