Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE
ENVO:01000422	environmental site	Bathroom													BATHROOM	
	environmental site	Clinical assessment centre													CLINICAL_ASSESSMENT_	
	environmental site	Conference venue													CONFERENCE_VENUE	
ENVO REQUEST	environmental site	Corridor													CORRIDOR	
ENVO_01000927	environmental site	Daycare													DAYCARE	
NCIT_C53513	environmental site	Emergency room (ER)													EMERGENCY_ROOM_ER	
	environmental site	Family practice clinic													FAMILY_PRACTICE_CLIN	
	environmental site	Group home													GROUP_HOME	
	environmental site	Homeless shelter													HOMELESS_SHELTER	
OBI_0000844	environmental site	Hospital													HOSPITAL	
NCIT_C53511	environmental site	Intensive Care Unit (ICU)													INTENSIVE_CARE_UNIT_	
GENEPIO_0001035	environmental site	Long Term Care Facility													LONG_TERM_CARE_FACIL	
	environmental site	Patient room													PATIENT_ROOM	
ENVO_01001481	environmental site	Prison													PRISON	
ENVO_01000536	environmental site	Production Facility													PRODUCTION_FACILITY	
NCIT_C17118	environmental site	School													SCHOOL	
	environmental site	Sewage Plant													SEWAGE_PLANT	
	environmental site	Subway train													SUBWAY_TRAIN	
	environmental site	Wet market													WET_MARKET	
																
NCIT:C52009	collection method	Amniocentesis													AMNIOCENTESIS	
NCIT:C15631	collection method	Aspiration													ASPIRATION	
	Aspiration	     Suprapubic Aspiration													SUPRAPUBIC_ASPIRATIO	
	Aspiration	     Tracheal aspiration													TRACHEAL_ASPIRATION	
	Aspiration	     Vacuum Aspiration													VACUUM_ASPIRATION	
OBI:0002650	collection method	Biopsy													BIOPSY	
OBI:0002651	Biopsy	     Needle Biopsy													NEEDLE_BIOPSY	
	collection method	Filtration													FILTRATION	
	Filtration	      Air filtration													AIR_FILTRATION	
OBI:0600044 	collection method	Lavage													LAVAGE	
BTO:0000155	Lavage	     Bronchoalveolar lavage (BAL)													BAL	
	Lavage	     Gastric Lavage													GASTRIC_LAVAGE	
NCIT:C15327	collection method	Lumbar Puncture													LUMBAR_PUNCTURE	
MMO:0000344	collection method	Necropsy													NECROPSY	
NCIT:c28221	collection method	Phlebotomy													PHLEBOTOMY	
GENEPIO:0002116	collection method	Rinsing													RINSING	
	Rinsing	     Saline gargle (mouth rinse and gargle)														
	collection method	Scraping													SCRAPING	
GENEPIO:0002117	collection method	Swabbing													SWABBING	
	Swabbing	     Finger Prick													FINGER_PRICK	
	collection method	Wash													WASH	
	collection method	Washout Tear Collection													WASHOUT	
																
																
	collection device	Air filter													AIR_FILTER	
NCIT:C113122	collection device	Blood Collection Tube													BLOOD_TUBE	
NCIT:C17611 	collection device	Bronchoscope													BRONCHOSCOPE	
	collection device	Collection Container													CONTAINER	
	collection device	Collection Cup													CUP	
	collection device	Fibrobronchoscope Brush													BRUSH	
	collection device	Filter													FILTER	
	collection device	Fine Needle													FINE_NEEDLE	
	collection device	Microcapillary tube													MICROCAPILLARY_TUBE	
OBI:0001128	collection device	Micropipette													MICROPIPETTE	
OBI:0000436	collection device	Needle													NEEDLE	
NCIT:C113675 	collection device	Serum Collection Tube													SERUM_TUBE	
	collection device	Sputum Collection Tube													SPUTUM_TUBE	
	collection device	Suction Catheter													SUCTION_CATHETER	
NCIT:c17627	collection device	Swab													SWAB	
	collection device	Urine Collection Tube													URINE_TUBE	
	collection device	Virus Transport Medium													TRANSPORT_MEDIUM	
																
																
NCBITaxon_9606	host (scientific name)	Homo sapiens														
NCBITaxon_9913	host (scientific name)	Bos taurus														
NCBITaxon_9615 	host (scientific name)	Canis lupus familiaris														
NCBITaxon_9397	host (scientific name)	Chiroptera														
NCBITaxon_8930	host (scientific name)	Columbidae														
NCBITaxon_9685	host (scientific name)	Felis catus														
NCBITaxon_9031	host (scientific name)	Gallus gallus														
NCBITaxon_9973	host (scientific name)	Manis														
NCBITaxon_9974	host (scientific name)	Manis javanica														
NCBITaxon_452646	host (scientific name)	Neovison vison														
NCBITaxon_9689	host (scientific name)	Panthera leo														
NCBITaxon_9694	host (scientific name)	Panthera tigris														
NCBITaxon_58055 	host (scientific name)	Rhinolophidae														
NCBITaxon_59477	host (scientific name)	Rhinolophus affinis														
NCBITaxon_9825	host (scientific name)	Sus scrofa domesticus														
NCBITaxon_9673	host (scientific name)	Viverridae														
																
																
NCBITaxon_9606	host (common name)	Human													HUMAN	
NCBITaxon_9397	host (common name)	Bat													BAT	
NCBITaxon_9685	host (common name)	Cat														
NCBITaxon_9031	host (common name)	Chicken														
NCBITaxon_9673	host (common name)	Civets													CIVETS	
NCBITaxon_9913	host (common name)	Cow												bovine		
NCBITaxon_9615 	host (common name)	Dog														
NCBITaxon_9689	host (common name)	Lion													LION	
	host (common name)	Mink														
NCBITaxon_9973	host (common name)	Pangolin													PANGOLIN	
NCBITaxon_9823	host (common name)	Pig												porcine		
NCBITaxon_8930	host (common name)	Pigeon														
NCBITaxon_9694	host (common name)	Tiger														
																
																
	host health state	Asymptomatic													ASYMPTOMATIC	
	host health state	Deceased													DECEASED	
	host health state	Healthy													HEALTHY	
	host health state	Recovered													RECOVERED	
	host health state	Symptomatic													SYMPTOMATIC	
																
																
	host health status details	Hospitalized													HOSPITALIZED	
	Hospitalized	      Hospitalized (Non-ICU)													NON_ICU	
	Hospitalized	      Hospitalized (ICU)													ICU	
	host health status details	Mechanical Ventilation													VENTILATION	
	host health status details	Medically Isolated													ISOLATED	
	Medically Isolated	      Medically Isolated (Negative Pressure)													ISOLATED_NEGATIVE_PR	
	host health status details	Self-quarantining													SELF_QUARANTINING	
																
	host health outcome	Deceased														
	host health outcome	Deteriorating														
	host health outcome	Recovered														
	host health outcome	Stable														
																
NCBITaxon_2697049	organism	Severe acute respiratory syndrome coronavirus 2														
	organism	RaTG13														
	organism	RmYN02														
																
																
	purpose of sampling	Cluster/Outbreak investigation														
	purpose of sampling	Diagnostic testing														
NCIT_c15429	purpose of sampling	Research														
	purpose of sampling	Surveillance 														
																
																
	purpose of sequencing	Baseline surveillance (random sampling)														
	purpose of sequencing	Targeted surveillance (non-random sampling)														
	Targeted surveillance (non-random sampling)	          Priority surveillance project														
	Priority surveillance project	                    Screening for Variants of Concern (VoC)														
	Priority surveillance project	                    Longitudinal surveillance (repeat sampling of individuals) 														
	Priority surveillance project	                    Re-infection surveillance 														
	Priority surveillance project	                    Vaccine escape surveillance														
	Priority surveillance project	                    Travel-associated surveillance														
	Travel-associated surveillance	                              Domestic travel surveillance														
	Travel-associated surveillance	                              International travel surveillance														
	purpose of sequencing	Cluster/Outbreak investigation														
	Cluster/Outbreak investigation	          Multi-jurisdictional outbreak investigation														
	Cluster/Outbreak investigation	          Intra-jurisdictional outbreak investigation														
	purpose of sequencing	Research														
	Research	          Viral passage experiment														
	Research	          Protocol testing experiment														
																
																
	specimen processing	Virus passage														
	specimen processing	RNA re-extraction (post RT-PCR)														
	specimen processing	Specimens pooled														
																
	lab host	293/ACE2 cell line														
BTO_0000195 	lab host	Caco2 cell line														
BTO_0002750	lab host	Calu3 cell line														
	lab host	EFK3B cell line														
BTO_0002181	lab host	HEK293T cell line														
	lab host	HRCE cell line														
BTO_0001950	lab host	Huh7 cell line														
CLO_0007330	lab host	LLCMk2 cell line														
BTO_0000836 	lab host	MDBK cell line														
	lab host	Mv1Lu cell line														
BTO_0002924	lab host	NHBE cell line														
BTO_0001865	lab host	PK-15 cell line														
BTO_0002909	lab host	RK-13 cell line														
BTO_0002035	lab host	U251 cell line														
BTO_0001444 	lab host	Vero cell line														
BTO:0004755	lab host	   Vero E6 cell line														
	lab host	      VeroE6/TMPRSS2 cell line														
																
	host disease	COVID-19														
																
	host age bin	0 - 9														
	host age bin	10 - 19														
	host age bin	20 - 29														
	host age bin	30 - 39														
	host age bin	40 - 49														
	host age bin	50 - 59														
	host age bin	60 - 69														
	host age bin	70 - 79														
	host age bin	80 - 89														
	host age bin	90 - 99														
	host age bin	100+														
																
OMRSE:00000009?	host gender	Female													FEMALE	
OMRSE:00000008?	host gender	Male													MALE	
	host gender	Non-binary gender													NON_BINARY_GENDER	
	host gender	Transgender (Male to Female)													TRANSGENDER	
	host gender	Transgender (Female to Male)													TRANSGENDER	
	host gender	Undeclared													REFUSED	
	host gender	Unknown													UNKNOWN	
																
	exposure event	Mass Gathering														
	Mass Gathering	      Convention													CONVENTION	
	Mass Gathering	      Convocation														
	Mass Gathering	      Agricultural Event														
	exposure event	Religious Gathering													RELIGIOUS	
	Religious Gathering	      Mass														
	exposure event	Social Gathering													SOCIAL	
	Social Gathering	      Baby Shower														
	Social Gathering	      Community Event														
	Social Gathering	      Family Gathering														
	Family Gathering	            Family Reunion														
	Social Gathering	      Funeral														
	Social Gathering	      Party														
	Social Gathering	      Potluck														
	Social Gathering	      Wedding														
	exposure event	Other exposure event														
																
	exposure contact level	Contact with infected individual														
	Contact with infected individual	      Direct contact (direct human-to-human contact)														
	Contact with infected individual	      Indirect contact														
	Indirect contact	           Close contact (face-to-face, no direct contact) 														
	Indirect contact	           Casual contact														
																
																
	host role	Attendee														
	Attendee	      Student														
	host role	Patient														
	Patient	      Inpatient														
	Patient	      Outpatient														
	host role	Passenger														
	host role	Resident														
	host role	Visitor														
	host role	Volunteer														
	host role	Work														
	Work	      Administrator														
	Work	      First Responder														
	First Responder	            Firefighter														
	First Responder	            Paramedic														
	First Responder	            Police Officer														
	Work	      Healthcare Worker														
	Work	      Nurse														
	Work	      Personal Care Aid														
	Work	      Pharmacist														
	Work	      Physician														
	Work	      Housekeeper														
	Work	      Kitchen Worker														
	Work	      Laboratory Worker														
	Work	      Rotational Worker														
	Work	      Seasonal Worker														
	Work	      Veterinarian														
	host role	Social role														
	Social role	      Acquaintance of case														
	Social role	      Relative of case														
	Relative of case	            Child of case														
	Relative of case	            Parent of case														
	Relative of case	                  Father of case 														
	Relative of case	                  Mother of case														
	Social role	      Spouse of case														
	host role	Other Host Role														
																
	exposure setting	Human Exposure														
	Human Exposure	      Known COVID-19 Case														
	Human Exposure	      Patient Contact														
	Human Exposure	      Probable COVID-19 Case														
	Human Exposure	      Person with Acute Respiratory Illness														
	Human Exposure	      Person with Fever and/or Cough														
	Human Exposure	      Person who Recently Travelled														
	exposure setting	Occupational or Residency Exposure														
ECTO_1000033	Occupational or Residency Exposure	      Abbatoir														
	Occupational or Residency Exposure	      Animal Rescue														
	Occupational or Residency Exposure	      Childcare														
	Childcare	            Daycare														
	Occupational or Residency Exposure	       Funeral Home														
	Occupational or Residency Exposure	      Place of Worship														
	Place of Worship	            Church														
	Place of Worship	            Mosque														
	Place of Worship	            Temple														
	Occupational or Residency Exposure	      Nursery														
	Occupational or Residency Exposure	      Household														
	Occupational or Residency Exposure	      Community Service Centre														
	Occupational or Residency Exposure	      Correctional Facility														
	Occupational or Residency Exposure	      Dormitory														
ECTO_1000034	Occupational or Residency Exposure	      Farm														
	Occupational or Residency Exposure	      First Nations Reserve														
	Occupational or Residency Exposure	      Group Home														
ECTO_1000035	Occupational or Residency Exposure	      Healthcare Setting														
	Healthcare Setting	            Ambulance														
	Healthcare Setting	            Acute Care Facility														
	Healthcare Setting	            Clinic														
	Healthcare Setting	            Community Health Centre														
	Healthcare Setting	            Hospital														
	Hospital	                  Emergency Department														
	Hospital	                  ICU														
	Hospital	                 Ward														
ECTO_1000036	Healthcare Setting	            Laboratory														
	Healthcare Setting	            Long-Term Care Facility														
	Healthcare Setting	            Pharmacy														
	Healthcare Setting	            Physician's Office														
	Occupational or Residency Exposure	      Insecure Housing (Homeless)														
ECTO:1000037	Occupational or Residency Exposure	      Office														
	Occupational or Residency Exposure	      Outdoors														
	Outdoors	            Camp/camping														
	Outdoors	            Hiking														
	Outdoors	            Hunting														
	Occupational or Residency Exposure	      Petting zoo														
	Occupational or Residency Exposure	      Restaurant														
	Occupational or Residency Exposure	      Retail Store														
	Occupational or Residency Exposure	      School														
	Occupational or Residency Exposure	      Temporary Residence														
	Temporary Residence	            Homeless Shelter														
	Temporary Residence	            Hotel														
	Occupational or Residency Exposure	      Veterinary Care Clinic														
	exposure setting	Travel Exposure														
	Travel Exposure	      Travelled														
	Travelled	            Travelled on a Cruise Ship														
	Travelled	            Travelled on a Plane														
	Travelled	            Travelled on Ground Transport														
	Travelled	            Travelled outside Province/Territory														
	Travelled	            Travelled outside Canada														
	exposure setting	Other Exposure Setting														
																
																
																
OBI_0000759	sequencing instrument	Illumina														
OBI_0002128	Illumina	   Illumina Genome Analyzer														
OBI_0000703	Illumina Genome Analyzer	      Illumina Genome Analyzer II														
OBI_0002000	Illumina Genome Analyzer	      Illumina Genome Analyzer IIx														
	Illumina	   Illumina HiScanSQ														
	Illumina	   Illumina HiSeq 														
OBI_0002129	Illumina	      Illumina HiSeq X 														
	Illumina HiSeq X	         Illumina HiSeq X Five														
OBI_0002129	Illumina HiSeq X	         Illumina HiSeq X Ten														
OBI_0002022	Illumina	      Illumina HiSeq 1000														
	Illumina	      Illumina HiSeq 1500														
OBI_0002001	Illumina	      Illumina HiSeq 2000														
OBI_0002002	Illumina	      Illumina HiSeq 2500														
OBI_0002048	Illumina	      Illumina HiSeq 3000														
OBI_0002049	Illumina	      Illumina HiSeq 4000														
	Illumina	   Illumina iSeq														
EFO:0008635	Illumina iSeq	   Illumina iSeq 100														
	Illumina	   Illumina NovaSeq														
OBI_0002630	Illumina NovaSeq	   Illumina NovaSeq 6000														
http://www.ebi.ac.uk/efo/EFO_0008636	Illumina	   Illumina MiniSeq														
OBI_0002003	Illumina	   Illumina MiSeq														
	Illumina	   Illumina NextSeq 														
OBI_0002021	Illumina	      Illumina NextSeq 500														
	Illumina	      Illumina NextSeq 550														
OBI_0001856	sequencing instrument	Pacific Biosciences														
	Pacific Biosciences	   PacBio RS														
OBI_0002012	Pacific Biosciences	   PacBio RS II														
OBI_0002632	Pacific Biosciences	   PacBio Sequel														
OBI_0002633	Pacific Biosciences	   PacBio Sequel II														
	sequencing instrument	Ion Torrent														
GENEPIO_0001935	Ion Torrent	   Ion Torrent PGM														
	Ion Torrent	   Ion Torrent Proton														
	Ion Torrent	   Ion Torrent S5 XL														
	Ion Torrent	   Ion Torrent S5														
	sequencing instrument	Oxford Nanopore														
	Oxford Nanopore	   Oxford Nanopore GridION														
	Oxford Nanopore	   Oxford Nanopore MinION														
	Oxford Nanopore	   Oxford Nanopore PromethION														
	sequencing instrument	BGI Genomics														
	BGI Genomics	   BGI Genomics BGISEQ-500														
	sequencing instrument	MGI														
	MGI	   MGI DNBSEQ-T7														
	MGI	   MGI DNBSEQ-G400														
	MGI	   MGI DNBSEQ-G400 FAST														
	MGI	   MGI DNBSEQ-G50														
																
																
PR:P0DTC4	gene name 1	E gene (orf4)												E gene	E gene	
PR:P0DTC5	gene name 1	M gene (orf5)														
PR:P0DTC9	gene name 1	N gene (orf9)														
PR:P0DTC2	gene name 1	Spike gene (orf2)														
PR:000050281	gene name 1	orf1ab (rep)														
PR:P0DTC1-1	orf1ab (rep)	   orf1a (pp1a)														
PR:000050280	orf1a (pp1a)	      nsp11														
PR:000050270	orf1ab (rep)	   nsp1 														
PR:000050271	orf1ab (rep)	   nsp2 														
PR:000050272	orf1ab (rep)	   nsp3 														
PR:000050273	orf1ab (rep)	   nsp4 														
PR:000050274	orf1ab (rep)	   nsp5 														
PR:000050275	orf1ab (rep)	   nsp6 														
PR:000050276	orf1ab (rep)	   nsp7 														
PR:000050277	orf1ab (rep)	   nsp8 														
PR:000050278	orf1ab (rep)	   nsp9 														
PR:000050279	orf1ab (rep)	   nsp10 														
PR:000050284	orf1ab (rep)	   RdRp gene (nsp12)														
PR:000050285	orf1ab (rep)	   hel gene (nsp13)														
PR:000050286	orf1ab (rep)	   exoN gene (nsp14)														
PR:000050287	orf1ab (rep)	   nsp15														
PR:000050288	orf1ab (rep)	   nsp16														
PR:P0DTC3	gene name 1	orf3a														
	gene name 1	orf3b														
PR:P0DTC6	gene name 1	orf6 (ns6)														
PR:P0DTC7	gene name 1	orf7a														
PR:P0DTD8	gene name 1	orf7b (ns7b)														
PR:P0DTC8	gene name 1	orf8 (ns8)														
PR:P0DTD2	gene name 1	orf9b														
	gene name 1	orf9c														
PR:A0A663DJA2	gene name 1	orf10														
	gene name 1	orf14														
	gene name 1	SARS-COV-2 5' UTR														
																
																
	sequence submitted by	National Microbiology Laboratory (NML)													NML	
	sequence submitted by	BCCDC Public Health Laboratory													BCCDC	
	sequence submitted by	Alberta Precision Labs (APL)														
	Alberta Precision Labs (APL)	Alberta ProvLab North (APLN)													APL-E	
	Alberta Precision Labs (APL)	Alberta ProvLab South (APLS)													APL-C	
	sequence submitted by	Public Health Ontario (PHO)													PHO	
	sequence submitted by	Laboratoire de santé publique du Québec (LSPQ)													LSPQ	
	sequence submitted by	Saskatchewan - Roy Romanow Provincial Laboratory (RRPL)													RRPL	
	sequence submitted by	Manitoba Cadham Provincial Laboratory													CADHAM	
	sequence submitted by	Nova Scotia Health Authority													NS_QE_II	
	sequence submitted by	New Brunswick - Vitalité Health Network													GEORGES_L_DUMONT	
	sequence submitted by	Newfoundland and Labrador - Eastern Health													EASTERN_HEALTH	
	sequence submitted by	Prince Edward Island - Health PEI													PEI	
	sequence submitted by	Ontario Institute for Cancer Research (OICR)													OICR	
	sequence submitted by	McMaster University													MCMASTER	
	sequence submitted by	McGill University													MCGILL	
	sequence submitted by	The Centre for Applied Genomics (TCAG)													TCAG	
	sequence submitted by	Sunnybrook Health Sciences Centre													SUNNYBROOK	
	sequence submitted by	Thunder Bay Regional Health Sciences Centre													THUNDER_BAY	
	sequence submitted by	Canadore College													CANADORE	
	sequence submitted by	Queen’s University / Kingston Health Sciences Centre													QUEENS_UNIV	
																
																
																
																
GAZ_00006882	geo_loc_name (country)	Afghanistan														
GAZ_00002953	geo_loc_name (country)	Albania														
GAZ_00000563	geo_loc_name (country)	Algeria														
GAZ_00003957	geo_loc_name (country)	American Samoa														
GAZ_00002948	geo_loc_name (country)	Andorra														
GAZ_00001095	geo_loc_name (country)	Angola														
GAZ_00009159	geo_loc_name (country)	Anguilla														
GAZ_00000462	geo_loc_name (country)	Antarctica														
GAZ_00006883	geo_loc_name (country)	Antigua and Barbuda														
GAZ_00002928	geo_loc_name (country)	Argentina													ARGENTINA	
GAZ_00004094	geo_loc_name (country)	Armenia														
GAZ_00004025	geo_loc_name (country)	Aruba														
GAZ_00005901	geo_loc_name (country)	Ashmore and Cartier Islands														
GAZ_00000463	geo_loc_name (country)	Australia													AUSTRALIA	
GAZ_00002942	geo_loc_name (country)	Austria														
GAZ_00004941	geo_loc_name (country)	Azerbaijan														
GAZ_00002733	geo_loc_name (country)	Bahamas														
GAZ_00005281	geo_loc_name (country)	Bahrain														
GAZ_00007117	geo_loc_name (country)	Baker Island														
GAZ_00003750	geo_loc_name (country)	Bangladesh														
GAZ_00001251	geo_loc_name (country)	Barbados														
GAZ_00005810	geo_loc_name (country)	Bassas da India														
GAZ_00006886	geo_loc_name (country)	Belarus														
GAZ_00002938	geo_loc_name (country)	Belgium													BELGIUM	
GAZ_00002934	geo_loc_name (country)	Belize														
GAZ_00000904	geo_loc_name (country)	Benin														
GAZ_00001264	geo_loc_name (country)	Bermuda														
GAZ_00003920	geo_loc_name (country)	Bhutan														
GAZ_00002511	geo_loc_name (country)	Bolivia														
GAZ_00025355	geo_loc_name (country)	Borneo														
GAZ_00006887	geo_loc_name (country)	Bosnia and Herzegovina														
GAZ_00001097	geo_loc_name (country)	Botswana														
GAZ_00001453	geo_loc_name (country)	Bouvet Island														
GAZ_00002828	geo_loc_name (country)	Brazil													BRAZIL	
GAZ_00003961	geo_loc_name (country)	British Virgin Islands														
GAZ_00003901	geo_loc_name (country)	Brunei														
GAZ_00002950	geo_loc_name (country)	Bulgaria														
GAZ_00000905	geo_loc_name (country)	Burkina Faso														
GAZ_00001090	geo_loc_name (country)	Burundi														
GAZ_00006888	geo_loc_name (country)	Cambodia														
GAZ_00001093	geo_loc_name (country)	Cameroon														
GAZ_00002560	geo_loc_name (country)	Canada													CA	
GAZ_00001227	geo_loc_name (country)	Cape Verde														
GAZ_00003986	geo_loc_name (country)	Cayman Islands														
GAZ_00001089	geo_loc_name (country)	Central African Republic														
GAZ_00000586	geo_loc_name (country)	Chad														
GAZ_00002825	geo_loc_name (country)	Chile													CHILE	
GAZ_00002845	geo_loc_name (country)	China													CHINA	
GAZ_00005915	geo_loc_name (country)	Christmas Island														
GAZ_00005838	geo_loc_name (country)	Clipperton Island														
GAZ_00009721	geo_loc_name (country)	Cocos Islands														
GAZ_00002929	geo_loc_name (country)	Colombia													COLUMBIA	
GAZ_00005820	geo_loc_name (country)	Comoros														
GAZ_00053798	geo_loc_name (country)	Cook Islands														
GAZ_00005917	geo_loc_name (country)	Coral Sea Islands														
GAZ_00002901	geo_loc_name (country)	Costa Rica													COSTA_RICA	
GAZ_00000906	geo_loc_name (country)	Cote d'Ivoire														
GAZ_00002719	geo_loc_name (country)	Croatia														
GAZ_00003762	geo_loc_name (country)	Cuba														
GAZ_00004021	geo_loc_name (country)	Curacao														
GAZ_00004006	geo_loc_name (country)	Cyprus														
GAZ_00002954	geo_loc_name (country)	Czech Republic														
GAZ_00001086	geo_loc_name (country)	Democratic Republic of the Congo														
GAZ_00005852	geo_loc_name (country)	Denmark													DENMARK	
GAZ_00000582	geo_loc_name (country)	Djibouti														
GAZ_00006890	geo_loc_name (country)	Dominica														
GAZ_00003952	geo_loc_name (country)	Dominican Republic														
GAZ_00002912	geo_loc_name (country)	Ecuador													ECUADOR	
GAZ_00003934	geo_loc_name (country)	Egypt														
GAZ_00002935	geo_loc_name (country)	El Salvador														
GAZ_00001091	geo_loc_name (country)	Equatorial Guinea														
GAZ_00000581	geo_loc_name (country)	Eritrea														
GAZ_00002959	geo_loc_name (country)	Estonia														
GAZ_00001099	geo_loc_name (country)	Eswatini														
GAZ_00000567	geo_loc_name (country)	Ethiopia														
GAZ_00005811	geo_loc_name (country)	Europa Island														
GAZ_00001412	geo_loc_name (country)	Falkland Islands (Islas Malvinas)														
GAZ_00059206	geo_loc_name (country)	Faroe Islands														
GAZ_00006891	geo_loc_name (country)	Fiji														
GAZ_00002937	geo_loc_name (country)	Finland														
GAZ_00003940	geo_loc_name (country)	France													FRANCE	
GAZ_00002516	geo_loc_name (country)	French Guiana														
GAZ_00002918	geo_loc_name (country)	French Polynesia														
GAZ_00003753	geo_loc_name (country)	French Southern and Antarctic Lands														
GAZ_00001092	geo_loc_name (country)	Gabon														
GAZ_00000907	geo_loc_name (country)	Gambia														
GAZ_00009571	geo_loc_name (country)	Gaza Strip														
GAZ_00004942	geo_loc_name (country)	Georgia														
GAZ_00002646	geo_loc_name (country)	Germany													GERMANY	
GAZ_00000908	geo_loc_name (country)	Ghana														
GAZ_00003987	geo_loc_name (country)	Gibraltar														
GAZ_00005808	geo_loc_name (country)	Glorioso Islands														
GAZ_00002945	geo_loc_name (country)	Greece														
GAZ_00001507	geo_loc_name (country)	Greenland														
GAZ_02000573	geo_loc_name (country)	Grenada														
GAZ_00067142	geo_loc_name (country)	Guadeloupe														
GAZ_00003706	geo_loc_name (country)	Guam														
GAZ_00002936	geo_loc_name (country)	Guatemala														
GAZ_00001550	geo_loc_name (country)	Guernsey														
GAZ_00000909	geo_loc_name (country)	Guinea														
GAZ_00000910	geo_loc_name (country)	Guinea-Bissau														
GAZ_00002522	geo_loc_name (country)	Guyana													GUYANA	
GAZ_00003953	geo_loc_name (country)	Haiti														
GAZ_00009718	geo_loc_name (country)	Heard Island and McDonald Islands														
GAZ_00002894	geo_loc_name (country)	Honduras														
GAZ_00003203	geo_loc_name (country)	Hong Kong														
GAZ_00007120	geo_loc_name (country)	Howland Island														
GAZ_00002952	geo_loc_name (country)	Hungary														
GAZ_00000843	geo_loc_name (country)	Iceland														
GAZ_00002839	geo_loc_name (country)	India													INDIA	
GAZ_00003727	geo_loc_name (country)	Indonesia														
GAZ_00004474	geo_loc_name (country)	Iran														
GAZ_00004483	geo_loc_name (country)	Iraq														
GAZ_00002943	geo_loc_name (country)	Ireland														
GAZ_00052477	geo_loc_name (country)	Isle of Man														
GAZ_00002476	geo_loc_name (country)	Israel														
GAZ_00002650	geo_loc_name (country)	Italy														
GAZ_00003781	geo_loc_name (country)	Jamaica													JAMAICA	
GAZ_00005853	geo_loc_name (country)	Jan Mayen														
GAZ_00002747	geo_loc_name (country)	Japan														
GAZ_00007118	geo_loc_name (country)	Jarvis Island														
GAZ_00001551	geo_loc_name (country)	Jersey														
GAZ_00007114	geo_loc_name (country)	Johnston Atoll														
GAZ_00002473	geo_loc_name (country)	Jordan														
GAZ_00005809	geo_loc_name (country)	Juan de Nova Island														
GAZ_00004999	geo_loc_name (country)	Kazakhstan														
GAZ_00001101	geo_loc_name (country)	Kenya													KENYA	
GAZ_00005682	geo_loc_name (country)	Kerguelen Archipelago														
GAZ_00007116	geo_loc_name (country)	Kingman Reef														
GAZ_00006894	geo_loc_name (country)	Kiribati														
GAZ_00011337	geo_loc_name (country)	Kosovo														
GAZ_00005285	geo_loc_name (country)	Kuwait														
GAZ_00006893	geo_loc_name (country)	Kyrgyzstan														
GAZ_00006889	geo_loc_name (country)	Laos														
GAZ_00002958	geo_loc_name (country)	Latvia														
GAZ_00002478	geo_loc_name (country)	Lebanon														
GAZ_00001098	geo_loc_name (country)	Lesotho														
GAZ_00000911	geo_loc_name (country)	Liberia														
GAZ_00000566	geo_loc_name (country)	Libya														
GAZ_00003858	geo_loc_name (country)	Liechtenstein														
GAZ_00007144	geo_loc_name (country)	Line Islands														
GAZ_00002960	geo_loc_name (country)	Lithuania														
GAZ_00002947	geo_loc_name (country)	Luxembourg														
GAZ_00003202	geo_loc_name (country)	Macau														
GAZ_00001108	geo_loc_name (country)	Madagascar														
GAZ_00001105	geo_loc_name (country)	Malawi														
GAZ_00003902	geo_loc_name (country)	Malaysia														
GAZ_00006924	geo_loc_name (country)	Maldives														
GAZ_00000584	geo_loc_name (country)	Mali														
GAZ_00005459	geo_loc_name (country)	Malta														
GAZ_00007161	geo_loc_name (country)	Marshall Islands														
GAZ_00067143	geo_loc_name (country)	Martinique														
GAZ_00000583	geo_loc_name (country)	Mauritania														
GAZ_00003745	geo_loc_name (country)	Mauritius														
GAZ_00003943	geo_loc_name (country)	Mayotte														
GAZ_00002852	geo_loc_name (country)	Mexico													MEXICO	
GAZ_00005862	geo_loc_name (country)	Micronesia														
GAZ_00007112	geo_loc_name (country)	Midway Islands														
GAZ_00003897	geo_loc_name (country)	Moldova														
GAZ_00003857	geo_loc_name (country)	Monaco														
GAZ_00008744	geo_loc_name (country)	Mongolia														
GAZ_00006898	geo_loc_name (country)	Montenegro														
GAZ_00003988	geo_loc_name (country)	Montserrat														
GAZ_00000565	geo_loc_name (country)	Morocco														
GAZ_00001100	geo_loc_name (country)	Mozambique														
GAZ_00006899	geo_loc_name (country)	Myanmar														
GAZ_00001096	geo_loc_name (country)	Namibia														
GAZ_00006900	geo_loc_name (country)	Nauru														
GAZ_00007119	geo_loc_name (country)	Navassa Island														
GAZ_00004399	geo_loc_name (country)	Nepal														
GAZ_00002946	geo_loc_name (country)	Netherlands													NETHERLANDS	
GAZ_00005206	geo_loc_name (country)	New Caledonia														
GAZ_00000469	geo_loc_name (country)	New Zealand														
GAZ_00002978	geo_loc_name (country)	Nicaragua														
GAZ_00000585	geo_loc_name (country)	Niger														
GAZ_00000912	geo_loc_name (country)	Nigeria													NIGERIA	
GAZ_00006902	geo_loc_name (country)	Niue														
GAZ_00005908	geo_loc_name (country)	Norfolk Island														
GAZ_00002801	geo_loc_name (country)	North Korea														
GAZ_00006895	geo_loc_name (country)	North Macedonia														
GAZ_00002284	geo_loc_name (country)	North Sea														
