Ontology ID	label	parent class	description	guidance	datatype	pattern	requirement	examples	source	capitalize	data status	max value	min value	EXPORT_soil_emsl_jgi_mg	section	order	title	column_number
ENVO:00002241	leptosol [ENVO:00002241]	environmental medium																
ENVO:00005766	limed soil [ENVO:00005766]	environmental medium																
ENVO:00002242	lixisol [ENVO:00002242]	environmental medium																
ENVO:00002258	loam [ENVO:00002258]	environmental medium																
ENVO:00002248	luvisol [ENVO:00002248]	environmental medium																
ENVO:00005767	manured soil [ENVO:00005767]	environmental medium																
ENVO:00005761	meadow soil [ENVO:00005761]	environmental medium																
ENVO:00005771	muddy soil [ENVO:00005771]	environmental medium																
ENVO:00002247	nitisol [ENVO:00002247]	environmental medium																
ENVO:00005772	orchard soil [ENVO:00005772]	environmental medium																
ENVO:00005782	ornithogenic soil [ENVO:00005782]	environmental medium																
ENVO:00003088	pantothenate enriched soil [ENVO:00003088]	environmental medium																
ENVO:00005773	pasture soil [ENVO:00005773]	environmental medium																
ENVO:00005774	peat soil [ENVO:00005774]	environmental medium																
ENVO:00002249	phaeozem [ENVO:00002249]	environmental medium																
ENVO:00002251	planosol [ENVO:00002251]	environmental medium																
ENVO:00002250	plinthosol [ENVO:00002250]	environmental medium																
ENVO:00002257	podzol [ENVO:00002257]	environmental medium																
ENVO:00003093	poly-beta-hydroxybutyrate enriched soil [ENVO:00003093]	environmental medium																
ENVO:00005764	pond soil [ENVO:00005764]	environmental medium																
ENVO:00003095	quinate enriched soil [ENVO:00003095]	environmental medium																
ENVO:00002256	regosol [ENVO:00002256]	environmental medium																
ENVO:00003083	sarcosine enriched soil [ENVO:00003083]	environmental medium																
ENVO:00003085	skatole enriched soil [ENVO:00003085]	environmental medium																
ENVO:00002252	solonchak [ENVO:00002252]	environmental medium																
ENVO:00002255	solonetz [ENVO:00002255]	environmental medium																
ENVO:00002274	stagnosol [ENVO:00002274]	environmental medium																
ENVO:02000059	surface soil [ENVO:02000059]	environmental medium																
ENVO:00002275	technosol [ENVO:00002275]	environmental medium																
ENVO:00003091	threonine enriched soil [ENVO:00003091]	environmental medium																
ENVO:00003084	trimethylamine enriched soil [ENVO:00003084]	environmental medium																
ENVO:00005778	tropical soil [ENVO:00005778]	environmental medium																
ENVO:01001397	ultisol [ENVO:01001397]	environmental medium																
ENVO:00002234	__acrisol [ENVO:00002234]	environmental medium																
ENVO:00002253	umbrisol [ENVO:00002253]	environmental medium																
ENVO:00005786	upland soil [ENVO:00005786]	environmental medium																
ENVO:00005753	urea enriched soil [ENVO:00005753]	environmental medium																
ENVO:00002254	vertisol [ENVO:00002254]	environmental medium																
